drug_name,num_prescriber,total_cost
ADVAIR DISKUS,1,59468
RENVELA,1,58782
ELIQUIS,1,58711
NAMENDA XR,1,58625
LANTUS,1,58106
NAMENDA XR,1,57973
PREZISTA,1,57968
XARELTO,1,57096
XARELTO,1,56302
OXYCODONE-ACETAMINOPHEN,1,56219
NOVOLOG FLEXPEN,1,56118
LEVEMIR FLEXTOUCH,1,55934
NEXIUM,1,55529
SENSIPAR,1,54437
LANTUS,1,54355
LYRICA,1,53655
EXELON,1,53635
LYRICA,1,53543
ISENTRESS,1,53392
RESTASIS,1,53364
SYMBICORT,1,53357
SENSIPAR,1,53160
SPIRIVA RESPIMAT,1,52404
CRESTOR,1,51673
LANTUS SOLOSTAR,1,51248
LANTUS,1,51183
NOVOLOG,1,51036
LANTUS SOLOSTAR,1,50876
ABILIFY,1,50663
XARELTO,1,50198
ELIQUIS,1,50066
ADVAIR DISKUS,1,49238
LEVEMIR,1,49110
JANUVIA,1,48926
LUMIGAN,1,48237
COMBIVENT RESPIMAT,1,48181
OXYCONTIN,1,47893
NUEDEXTA,1,47093
VALGANCICLOVIR HCL,1,46709
ATRIPLA,1,46064
TRADJENTA,1,46033
KETOPROFEN,1,45839
SPIRIVA,1,45822
COMPLERA,1,45810
LEVEMIR FLEXTOUCH,1,45687
MORPHINE SULFATE ER,1,45454
RESTASIS,1,44983
CUBICIN,1,44597
XIFAXAN,1,44531
CRESTOR,1,44435
CRESTOR,1,44344
JANUVIA,1,44342
LYRICA,1,43983
GLUMETZA,1,43737
PREZISTA,1,43674
COMPLERA,1,43122
REYATAZ,1,42961
EXELON,1,42172
NEVANAC,1,41327
LANTUS SOLOSTAR,1,41303
LANTUS,1,41124
DIVALPROEX SODIUM ER,1,40742
HYDROCODONE-ACETAMINOPHEN,1,40619
LANTUS,1,40247
XGEVA,1,40231
FORTEO,1,40174
LEVEMIR FLEXTOUCH,1,40055
HUMALOG,1,39970
ADVAIR DISKUS,1,39678
GAMUNEX-C,1,39561
HUMIRA PEN,1,39459
SANTYL,1,39268
CRESTOR,1,39114
VICTOZA 3-PAK,1,38892
SYMBICORT,1,38869
CRESTOR,1,38812
EXALGO,1,38545
NOVOLOG MIX 70-30 FLEXPEN,1,38079
NEXIUM,1,38053
ATRIPLA,1,38049
HUMIRA PEN,1,38014
LIALDA,1,37859
XARELTO,3,37788
DALIRESP,1,37560
LANTUS,1,37513
CRESTOR,1,37468
SPIRIVA,1,36997
ABILIFY,1,36902
SUSTIVA,1,36758
WELLBUTRIN XL,1,36672
MODAFINIL,1,36124
ADVAIR DISKUS,1,35755
ZETIA,2,35480
LEVEMIR FLEXTOUCH,1,35423
XIFAXAN,1,35341
VICTOZA 3-PAK,1,35327
HUMIRA PEN,1,35298
LANTUS,1,35058
ADVAIR DISKUS,1,34407
HYDROCODONE-ACETAMINOPHEN,1,34182
JANUVIA,1,33937
DEXILANT,1,33734
VICTOZA 3-PAK,1,33703
FORTEO,1,33564
OXYCONTIN,1,33488
NEXIUM,1,33428
LEVEMIR,1,33235
NOVOLOG FLEXPEN,1,33224
BUDESONIDE EC,1,32910
LETAIRIS,1,32792
LANTUS SOLOSTAR,1,32552
XARELTO,1,32551
NAMENDA,1,31937
SYMBICORT,1,31916
VELPHORO,1,31568
LINZESS,1,31520
DEXILANT,1,31498
ABILIFY,1,31077
LYRICA,1,30910
CHLORPROMAZINE HCL,1,30905
LEVEMIR FLEXTOUCH,1,30655
NEXIUM,1,30405
LANTUS SOLOSTAR,1,30338
CRESTOR,1,30310
ADVAIR DISKUS,1,30278
CRESTOR,1,29954
ELIQUIS,1,29894
LANTUS,1,29872
TRAVATAN Z,1,29840
LATUDA,1,29746
RANEXA,1,29721
ADVAIR DISKUS,1,29704
NEXIUM,1,29493
NAMENDA XR,1,29469
INVEGA SUSTENNA,1,29453
EPZICOM,1,29175
NOVOLOG MIX 70-30 FLEXPEN,1,29060
LEVEMIR FLEXTOUCH,1,29005
GABAPENTIN,1,28790
REYATAZ,1,28722
ABILIFY,1,28702
HYDROCODONE-ACETAMINOPHEN,1,28489
NUVIGIL,1,28472
APIDRA SOLOSTAR,1,28464
LIDOCAINE-PRILOCAINE,1,28405
VICTOZA 3-PAK,1,28352
VESICARE,1,28260
FINASTERIDE,1,27983
NAMENDA,1,27950
PREZISTA,1,27909
FORTEO,1,27802
ZYPREXA,1,27758
LINZESS,1,27681
LYRICA,1,27038
XARELTO,1,26919
JANUVIA,1,26906
PROAIR HFA,1,26867
CHLORPROMAZINE HCL,1,26827
LANTUS SOLOSTAR,1,26795
XARELTO,1,26741
LANTUS SOLOSTAR,1,26719
OPANA ER,1,26674
HYDROXYCHLOROQUINE SULFATE,1,26441
PENTASA,1,26435
LYRICA,1,26420
INVEGA SUSTENNA,1,26406
TUDORZA PRESSAIR,1,26370
CARBAMAZEPINE,1,26352
DULOXETINE HCL,1,26230
LINZESS,1,26157
LANTUS,1,26042
RENVELA,1,25760
CREON,1,25711
NEXIUM,1,25639
LANTUS SOLOSTAR,1,25617
LANTUS SOLOSTAR,1,25591
VIREAD,1,25432
ULORIC,1,25315
ADVAIR DISKUS,1,25230
JANUMET XR,1,25099
CRESTOR,1,25086
LANTUS SOLOSTAR,1,25079
INVOKANA,1,25044
ATROVENT HFA,1,24866
ONGLYZA,1,24864
DULOXETINE HCL,1,24724
RENAGEL,1,24647
INVOKANA,1,24625
LYRICA,1,24601
RESTASIS,1,24523
RANEXA,1,24432
TRADJENTA,1,24414
XIFAXAN,1,24344
JANUMET,1,24326
CRESTOR,1,24287
MYRBETRIQ,1,24251
DEXILANT,1,24105
LANTUS SOLOSTAR,1,24105
ISENTRESS,1,23993
CRESTOR,1,23993
INVEGA,1,23988
SEROQUEL XR,1,23926
ANDROGEL,1,23819
PROSOL,1,23725
MODAFINIL,1,23646
NOVOLOG FLEXPEN,1,23435
NORVIR,1,23402
HUMALOG KWIKPEN U-100,1,23392
JANUVIA,1,23385
CRESTOR,1,23318
SENSIPAR,1,23247
ELIQUIS,1,23240
SPIRIVA,1,23238
SEROQUEL XR,1,23181
SPIRIVA,1,22952
LANTUS,1,22938
CRESTOR,1,22886
ABILIFY,1,22843
COMBIVENT RESPIMAT,1,22759
JANUVIA,1,22747
TACROLIMUS,1,22548
NOVOLOG,1,22548
SPIRIVA,1,22523
SPIRIVA,1,22513
PREZCOBIX,1,22364
CRESTOR,1,22360
CRESTOR,1,22256
PRADAXA,1,22191
PROCRIT,1,22164
ZYPREXA RELPREVV,1,22049
HUMALOG,1,21968
CRESTOR,1,21875
PROLIA,1,21845
JANUVIA,1,21837
HUMALOG,1,21810
RANEXA,1,21765
LANTUS,1,21536
SILDENAFIL,1,21512
NEXIUM,1,21501
VICTOZA 3-PAK,1,21397
CRESTOR,1,21331
XARELTO,1,21289
CHLORPROMAZINE HCL,1,21222
WELCHOL,1,21218
LANTUS SOLOSTAR,1,21207
LYRICA,1,21137
ISENTRESS,1,21124
CIALIS,1,21091
HUMULIN N,1,21087
LANTUS,1,21081
INVOKANA,1,20983
INVOKANA,1,20929
METOPROLOL SUCCINATE,3,20916
OXYCODONE HCL,1,20915
NAMENDA XR,1,20880
NOVOLOG MIX 70-30 FLEXPEN,1,20830
SUPREP,1,20778
OXYCONTIN,1,20700
LEVEMIR FLEXTOUCH,1,20645
OXYCODONE HCL,1,20626
JANUMET,1,20587
RANEXA,1,20533
POTASSIUM CHLORIDE,1,20528
FENTANYL,1,20422
ELIQUIS,1,20296
ANDROGEL,1,20291
ADVAIR DISKUS,1,20232
ULORIC,1,20226
HUMALOG,1,20175
LINZESS,1,20171
LANTUS,1,20117
LIDODERM,1,20097
ADVAIR DISKUS,1,20075
JANUVIA,1,20058
LANTUS SOLOSTAR,1,20049
OXYCONTIN,1,20012
XARELTO,1,19987
TOUJEO SOLOSTAR,1,19794
CRESTOR,1,19699
OXYCODONE-ACETAMINOPHEN,1,19677
VICTOZA 3-PAK,1,19646
ASACOL HD,1,19638
ADVAIR DISKUS,1,19629
LIALDA,1,19616
PROAIR HFA,1,19609
FENTANYL,1,19605
COLCRYS,1,19593
CRESTOR,1,19508
INVOKANA,1,19476
ADVAIR DISKUS,1,19473
CRESTOR,1,19401
SYMBICORT,1,19355
INTELENCE,1,19327
ASACOL HD,1,19250
OXYCONTIN,1,19215
RAPAFLO,1,19214
XARELTO,1,19180
JANUVIA,1,19148
LANTUS SOLOSTAR,1,19061
CRESTOR,1,19048
RANEXA,1,19037
NEXIUM,1,19035
OXYCONTIN,1,19018
CRESTOR,1,19010
INVOKANA,1,19004
COMBIVENT RESPIMAT,1,18848
CRESTOR,1,18845
JENTADUETO,1,18752
CLOBETASOL PROPIONATE,1,18710
PROAIR HFA,1,18691
FORADIL,1,18666
OLANZAPINE,1,18579
NEXIUM,1,18555
LEVEMIR,1,18549
LOTEMAX,1,18538
LEVOTHYROXINE SODIUM,1,18483
ADVAIR DISKUS,1,18472
RESTASIS,1,18469
CRESTOR,1,18335
OPANA ER,1,18297
JANUVIA,1,18283
MULTAQ,1,18227
LATUDA,1,18216
SPIRIVA,1,18139
NEXIUM,1,18134
ADVAIR DISKUS,1,18128
DONEPEZIL HCL,1,18113
CRESTOR,1,18012
VESICARE,1,18008
ADVAIR DISKUS,1,17984
HUMALOG KWIKPEN U-100,1,17965
INVEGA,1,17962
XARELTO,1,17928
CRESTOR,1,17900
MYCOPHENOLATE MOFETIL,1,17877
DULOXETINE HCL,1,17862
SPIRIVA RESPIMAT,1,17857
ABILIFY,1,17842
NEXIUM,1,17819
NEXIUM,1,17816
TIAGABINE HCL,1,17787
LANTUS,1,17780
JANUVIA,1,17720
LANTUS SOLOSTAR,1,17710
SYMBICORT,1,17668
OMEGA-3 ACID ETHYL ESTERS,1,17644
NEXIUM,1,17633
REYATAZ,1,17629
ADVAIR DISKUS,1,17590
ADVAIR DISKUS,1,17534
DEXILANT,1,17517
BREO ELLIPTA,1,17485
RIBASPHERE RIBAPAK,1,17484
HUMALOG KWIKPEN U-100,1,17451
JANUVIA,1,17426
CRESTOR,1,17422
URSODIOL,1,17300
HYDROXYCHLOROQUINE SULFATE,1,17299
ABILIFY,1,17249
ABILIFY,1,17237
LYRICA,1,17228
NAMENDA XR,1,17216
JANUVIA,2,17171
TIVICAY,1,17142
NEXIUM,1,17140
PRADAXA,1,17095
NOVOLIN N,1,17073
LYRICA,1,17052
OPANA ER,1,16956
TRAVATAN Z,1,16923
EXELON,1,16895
AMITIZA,1,16819
XARELTO,1,16796
CREON,1,16795
MYRBETRIQ,1,16769
MYCOPHENOLIC ACID,1,16736
JANUVIA,1,16710
WELCHOL,1,16660
ZETIA,1,16640
ZETIA,1,16620
NEXIUM,1,16585
FENOFIBRATE,2,16560
INVOKANA,1,16479
ZEGERID,1,16412
AGGRENOX,1,16392
EXELON,1,16342
PRISTIQ ER,1,16294
GATIFLOXACIN,1,16269
RISPERDAL CONSTA,1,16266
LYRICA,1,16225
INTELENCE,1,16161
CRESTOR,1,16160
AZOR,1,16106
LANTUS SOLOSTAR,1,16082
ANORO ELLIPTA,1,16074
CRESTOR,1,16065
CALCITRIOL,1,16042
NEXIUM,1,15957
NOVOLOG MIX 70-30 FLEXPEN,1,15949
XARELTO,1,15941
OXYCONTIN,1,15922
DULOXETINE HCL,1,15906
CRESTOR,1,15860
AMITIZA,1,15835
SENSIPAR,1,15816
SEROQUEL XR,1,15737
TIKOSYN,1,15712
ABILIFY,1,15684
LEVOTHYROXINE SODIUM,1,15640
OMEPRAZOLE,1,15630
HUMALOG KWIKPEN U-100,1,15600
LINZESS,1,15590
METHOTREXATE,1,15494
ELIQUIS,1,15452
LATUDA,1,15402
XARELTO,1,15367
OMEGA-3 ACID ETHYL ESTERS,1,15362
EPZICOM,1,15350
LANTUS SOLOSTAR,1,15292
HUMALOG,1,15273
ZETIA,1,15272
BD ULTRA-FINE PEN NEEDLE,1,15255
CRESTOR,1,15192
TUDORZA PRESSAIR,1,15191
WELCHOL,1,15129
DULOXETINE HCL,1,15127
VIMPAT,1,15122
ZETIA,1,15111
EFFIENT,1,15053
ADVAIR DISKUS,1,15042
CRESTOR,1,14995
JANUVIA,1,14986
VESICARE,1,14977
BUDESONIDE EC,1,14974
ULORIC,1,14970
JANUVIA,1,14940
LANTUS SOLOSTAR,1,14842
VOLTAREN,1,14841
NEXIUM,1,14831
OXYCODONE HCL,1,14814
ADVAIR DISKUS,1,14729
ANORO ELLIPTA,1,14729
ELIQUIS,1,14700
ADVAIR DISKUS,1,14684
TRUVADA,1,14673
NUCYNTA ER,1,14632
LIDODERM,1,14622
JANUMET,1,14616
LEVEMIR FLEXTOUCH,1,14602
JANUVIA,1,14597
ATORVASTATIN CALCIUM,1,14593
LYRICA,1,14483
LANTUS,1,14463
PROAIR HFA,1,14454
DIVALPROEX SODIUM ER,1,14449
LANTUS,1,14383
ARIPIPRAZOLE,1,14343
NEXIUM,1,14332
XARELTO,1,14329
COMBIVENT RESPIMAT,1,14295
PROLENSA,1,14290
JANUVIA,1,14275
PROAIR HFA,1,14261
SPIRIVA,1,14247
JANUVIA,1,14240
FLUOROURACIL,1,14236
APIDRA,1,14224
SPIRIVA,1,14219
KALETRA,1,14208
ASACOL HD,1,14168
MULTAQ,1,14157
CRESTOR,1,14138
MIRTAZAPINE,1,14083
LANTUS,1,14079
BUTRANS,1,14046
ADVAIR DISKUS,1,14041
RAPAMUNE,1,14016
CRESTOR,1,13992
EPZICOM,1,13951
PREDNISOLONE ACETATE,1,13910
LANTUS,1,13830
HUMULIN 70-30,1,13809
NOVOLOG,1,13807
LEVOTHYROXINE SODIUM,1,13781
URSODIOL,1,13778
ARIPIPRAZOLE,1,13775
LYRICA,1,13761
LEVEMIR FLEXTOUCH,1,13750
CALCIUM ACETATE,1,13744
HUMALOG,1,13719
XARELTO,1,13713
MORPHINE SULFATE ER,1,13709
CRESTOR,1,13687
XARELTO,1,13678
ADVAIR DISKUS,1,13667
LEVEMIR FLEXTOUCH,1,13656
OLANZAPINE,1,13642
ZETIA,1,13528
SPIRIVA,1,13519
ENALAPRIL MALEATE,1,13496
FLUOROMETHOLONE,1,13495
CRESTOR,1,13479
SPIRIVA,1,13456
ONGLYZA,1,13428
ZETIA,1,13424
NORVIR,1,13407
METOPROLOL SUCCINATE,1,13389
LATUDA,1,13371
RANEXA,1,13325
LEVEMIR,1,13283
SPIRIVA,1,13246
TRADJENTA,1,13204
TAMSULOSIN HCL,1,13203
SPIRIVA,1,13187
DIVALPROEX SODIUM,1,13171
LANTUS,1,13158
LEVEMIR,1,13119
LANTUS SOLOSTAR,1,13116
ISOSORBIDE DINITRATE,1,13105
NAMENDA,1,13066
XANAX,1,13058
ENOXAPARIN SODIUM,1,13048
LANTUS,1,13028
LYRICA,1,13024
LANTUS,1,12971
BENICAR,1,12962
NUEDEXTA,1,12949
LEVEMIR FLEXTOUCH,1,12855
MULTAQ,1,12853
SAPHRIS,1,12838
ELIQUIS,1,12836
OXYCODONE-ACETAMINOPHEN,1,12831
OMEGA-3 ACID ETHYL ESTERS,1,12819
CRESTOR,1,12792
BENICAR,1,12787
SPIRIVA,1,12786
METOPROLOL SUCCINATE,1,12777
HUMALOG KWIKPEN U-100,1,12771
LEVEMIR,1,12765
LEVEMIR FLEXTOUCH,1,12756
HUMALOG,1,12752
JANUVIA,2,12614
ZETIA,1,12605
PERCOCET,1,12595
INVOKANA,1,12573
ZETIA,1,12572
SPIRIVA,1,12560
NAMENDA XR,1,12554
NEXIUM,1,12544
VYTORIN,1,12526
DIVALPROEX SODIUM ER,1,12514
POTASSIUM CHLORIDE,1,12506
OXYCONTIN,1,12478
ADVAIR DISKUS,1,12457
VESICARE,1,12423
DULERA,1,12406
NOVOLOG FLEXPEN,1,12405
LEVOTHYROXINE SODIUM,1,12394
ATORVASTATIN CALCIUM,1,12354
ONGLYZA,1,12322
FETZIMA,1,12321
EXELON,1,12317
GABAPENTIN,1,12315
ZETIA,1,12302
TRANSDERM-SCOP,1,12295
VESICARE,1,12293
INVANZ,1,12288
PRADAXA,1,12259
VYVANSE,1,12239
OLANZAPINE,1,12239
SPIRIVA,1,12190
SEROQUEL XR,1,12159
CRESTOR,1,12141
LANTUS SOLOSTAR,1,12132
ADVAIR DISKUS,1,12129
PROAIR HFA,1,12105
OXYCODONE-ACETAMINOPHEN,1,12096
PREDNISOLONE ACETATE,1,12076
HUMALOG,1,12054
DONEPEZIL HCL,1,12011
ENOXAPARIN SODIUM,1,11985
FANAPT,1,11968
COREG CR,1,11945
LUMIGAN,1,11933
URSODIOL,1,11871
ZETIA,1,11869
VESICARE,1,11858
CELECOXIB,1,11851
ZETIA,1,11812
SPIRIVA,1,11808
POTASSIUM CHLORIDE,1,11805
SYMBICORT,1,11798
COMBIVENT RESPIMAT,1,11787
SYMBICORT,1,11778
NAMENDA XR,1,11772
VYTORIN,2,11747
AMITIZA,1,11709
CRESTOR,1,11686
OXYCONTIN,1,11680
STAXYN,1,11677
INVEGA,1,11674
NUCYNTA,1,11664
BYSTOLIC,1,11658
LANTUS SOLOSTAR,1,11656
SYMBICORT,1,11641
NAMENDA,1,11639
LANTUS,1,11599
COMBIGAN,1,11598
ATORVASTATIN CALCIUM,1,11581
TIKOSYN,1,11565
LEVOTHYROXINE SODIUM,1,11561
VESICARE,1,11537
PERCOCET,1,11509
NOVOLOG FLEXPEN,1,11507
VIMPAT,1,11495
ADVAIR HFA,1,11487
OXYCONTIN,1,11469
PANTOPRAZOLE SODIUM,1,11446
PRAVASTATIN SODIUM,1,11418
LANTUS SOLOSTAR,1,11417
GABAPENTIN,1,11414
TOUJEO SOLOSTAR,1,11404
NEXIUM,1,11396
BYSTOLIC,2,11383
PREZISTA,1,11378
CRESTOR,2,11369
CRESTOR,1,11356
ULORIC,1,11355
JANUVIA,1,11351
NEXIUM,2,11324
SEROQUEL XR,1,11304
ELIQUIS,1,11298
SPIRIVA,1,11264
TRILEPTAL,1,11264
SUSTIVA,1,11199
VIREAD,1,11180
LEVOTHYROXINE SODIUM,1,11173
NOVOLOG,1,11126
LYRICA,1,11110
LUMIGAN,1,11106
NAMENDA XR,1,11105
PRADAXA,1,11083
LEVEMIR FLEXTOUCH,1,11079
DUREZOL,1,10983
ATORVASTATIN CALCIUM,3,10925
PROTOPIC,1,10915
BUDESONIDE,1,10899
COMBIVENT RESPIMAT,1,10892
MULTAQ,1,10857
NEXIUM,1,10856
SYMBICORT,1,10848
OXYCODONE HCL,1,10841
SPIRIVA,1,10790
ARIPIPRAZOLE,1,10774
OMEPRAZOLE,1,10768
JANUVIA,1,10766
NOVOLOG,1,10751
WELCHOL,1,10750
LYRICA,1,10739
COMBIGAN,1,10725
VALSARTAN,2,10692
NAMENDA,1,10690
PROAIR HFA,1,10673
METOPROLOL SUCCINATE,1,10673
NOVOLOG FLEXPEN,1,10628
JANUVIA,1,10582
PREMARIN,1,10578
VIMPAT,1,10560
LEVEMIR,1,10550
NOVOLOG,1,10541
ZETIA,2,10538
LANTUS SOLOSTAR,1,10478
TRAVATAN Z,1,10473
CEVIMELINE HCL,1,10472
AVODART,1,10465
WELCHOL,1,10401
ADVAIR DISKUS,1,10362
VENTOLIN HFA,1,10360
ABILIFY,1,10347
LIDODERM,1,10324
BENICAR,1,10317
STRATTERA,1,10313
LIDOCAINE,1,10308
NAMENDA XR,1,10306
TRADJENTA,1,10302
JANUVIA,1,10301
OMEPRAZOLE,1,10297
VESICARE,1,10284
LEVEMIR FLEXTOUCH,1,10274
LANTUS,1,10256
TRADJENTA,1,10250
ZETIA,1,10234
SPIRIVA,1,10230
LEVETIRACETAM,1,10221
AMITIZA,1,10213
PRAVASTATIN SODIUM,1,10196
MULTAQ,1,10179
OLANZAPINE ODT,1,10163
LUMIGAN,1,10158
LYRICA,1,10131
FLOVENT HFA,1,10126
CRESTOR,1,10070
PRADAXA,1,10048
INVOKANA,1,10029
EDURANT,1,10020
OXYMORPHONE HCL ER,1,10006
OXYCODONE-ACETAMINOPHEN,1,9978
MORPHINE SULFATE ER,1,9976
SPIRIVA,1,9974
CARBAMAZEPINE ER,1,9967
PERCOCET,1,9959
DULOXETINE HCL,1,9948
TAMIFLU,1,9947
CLOPIDOGREL,1,9942
SANTYL,1,9941
SPIRIVA,1,9936
CELECOXIB,1,9921
ADVAIR DISKUS,1,9904
BYSTOLIC,1,9876
MONTELUKAST SODIUM,1,9869
PREVACID,1,9868
GABAPENTIN,1,9859
SYMLINPEN 120,1,9850
NEXIUM,1,9843
NEXIUM,2,9840
NAMENDA,1,9835
TIMOLOL MALEATE,1,9824
ZETIA,1,9824
ULORIC,1,9820
BENICAR HCT,1,9818
ARIPIPRAZOLE,1,9810
NEXIUM,1,9807
CELECOXIB,1,9805
JANUVIA,1,9800
LYRICA,1,9797
LATANOPROST,1,9787
NAMENDA XR,1,9767
SIMVASTATIN,1,9767
ALPRAZOLAM,1,9748
ADVAIR DISKUS,1,9748
XARELTO,1,9736
ADVAIR DISKUS,1,9729
JANUVIA,1,9631
SYMBICORT,1,9592
HUMULIN N,1,9589
VESICARE,1,9583
TAMSULOSIN HCL,1,9567
ANDROGEL,1,9557
JANUVIA,1,9556
SYMBICORT,1,9554
LEVOTHYROXINE SODIUM,1,9528
POTASSIUM CHLORIDE,3,9506
METHOTREXATE,1,9502
OXYCODONE-ACETAMINOPHEN,1,9489
SYMBICORT,1,9466
NOVOLOG FLEXPEN,1,9459
DEXILANT,1,9442
ATORVASTATIN CALCIUM,1,9428
NAMENDA XR,1,9412
ATROVENT HFA,1,9408
HUMALOG MIX 75-25 KWIKPEN,1,9399
RANEXA,1,9377
BENICAR,1,9372
BYETTA,1,9365
SPIRIVA,1,9346
BD ULTRA-FINE PEN NEEDLE,1,9346
VALSARTAN,1,9337
VICTOZA 3-PAK,1,9334
VALSARTAN,1,9319
CRESTOR,1,9303
ELIQUIS,1,9266
LEVOTHYROXINE SODIUM,1,9265
LEVOTHYROXINE SODIUM,1,9249
AMIODARONE HCL,1,9239
NOVOLOG FLEXPEN,1,9239
JENTADUETO,1,9229
NAMENDA XR,1,9222
ZETIA,1,9188
DIOVAN,1,9180
SEROQUEL XR,1,9178
ZETIA,1,9175
LINZESS,1,9170
LEVEMIR,1,9167
JANUVIA,1,9158
FINASTERIDE,1,9155
SYMBICORT,1,9153
JANUVIA,1,9132
MORPHINE SULFATE ER,1,9116
SPIRIVA,1,9115
SYMBICORT,1,9042
GABAPENTIN,1,9038
CRESTOR,1,9023
SYMBICORT,1,9020
HYDROCODONE-ACETAMINOPHEN,1,9014
TRADJENTA,1,9014
LEVEMIR,1,9006
EXELON,1,9001
MORPHINE SULFATE ER,1,8991
JANUMET,1,8976
NAMENDA,1,8965
ARIPIPRAZOLE,1,8964
LATUDA,1,8963
PRADAXA,1,8914
PREVACID,1,8891
CLOMIPRAMINE HCL,1,8887
FENOFIBRATE,3,8881
ESOMEPRAZOLE MAGNESIUM,1,8867
RALOXIFENE HCL,1,8852
SYMBICORT,1,8850
LANTUS SOLOSTAR,1,8837
SPIRIVA,1,8830
CREON,1,8819
NEXIUM,1,8815
METOPROLOL SUCCINATE,1,8804
QUETIAPINE FUMARATE,1,8783
SPIRIVA,1,8783
FENTANYL,1,8781
FENTANYL,1,8774
METHAZOLAMIDE,1,8769
ESOMEPRAZOLE MAGNESIUM,1,8756
OXYCONTIN,1,8754
XARELTO,1,8748
LEVOTHYROXINE SODIUM,2,8724
EFFIENT,1,8721
DOXYCYCLINE HYCLATE,1,8717
BENICAR,1,8711
OXYCODONE-ACETAMINOPHEN,1,8709
CELECOXIB,1,8708
VESICARE,1,8707
MOVIPREP,1,8701
NEXIUM,1,8700
OXYCODONE-ACETAMINOPHEN,1,8688
COMBIVENT RESPIMAT,1,8682
SPIRIVA,1,8676
LYRICA,1,8667
LEVOTHYROXINE SODIUM,1,8665
NOVOLIN 70-30,1,8663
FARXIGA,1,8657
CARAFATE,1,8650
TAMSULOSIN HCL,1,8649
LIPITOR,1,8646
CLONIDINE,1,8639
ADVAIR DISKUS,1,8635
NOVOLIN 70-30,1,8633
VYTORIN,1,8632
NAMENDA,1,8622
PROAIR HFA,1,8622
LEVOTHYROXINE SODIUM,1,8617
LANTUS SOLOSTAR,1,8614
VOLTAREN,1,8604
ATORVASTATIN CALCIUM,1,8602
COMBIVENT RESPIMAT,1,8598
JANUVIA,1,8594
NEXIUM,1,8578
FLUOROURACIL,1,8556
BROMOCRIPTINE MESYLATE,1,8556
ATORVASTATIN CALCIUM,1,8554
LEVEMIR FLEXTOUCH,1,8554
ARIPIPRAZOLE,1,8542
PREMARIN,1,8534
ATORVASTATIN CALCIUM,1,8532
FENOFIBRATE,5,8527
PULMICORT FLEXHALER,1,8516
LEVOTHYROXINE SODIUM,1,8502
NEXIUM,1,8493
NEXIUM,1,8469
EFFIENT,1,8464
CRESTOR,1,8463
ADVAIR DISKUS,1,8462
NASONEX,1,8458
OMEGA-3 ACID ETHYL ESTERS,1,8454
BROVANA,1,8427
RESTASIS,1,8403
OXYCONTIN,1,8401
MORPHINE SULFATE ER,1,8382
ARIPIPRAZOLE,1,8374
XARELTO,1,8374
CHLORPROMAZINE HCL,1,8371
ZETIA,1,8352
FARXIGA,1,8336
VOLTAREN,1,8326
LEVEMIR FLEXTOUCH,1,8326
OPANA ER,1,8322
TRIBENZOR,1,8318
